0,1,2
-14.222983,-14.810058,-7.87038
-7.8645287,-8.359091,-4.472497
-8.954315,-9.485686,-5.0492115
-8.339824,-8.807565,-4.7298603
-9.992964,-10.486773,-5.6129704
-6.677204,-7.120804,-3.842077
-6.9210443,-7.410456,-3.967147
-9.659559,-10.195015,-5.4276695
-5.623847,-6.065117,-3.2823703
-13.300654,-13.842736,-7.3793736
-8.4514,-8.962008,-4.7867517
-7.380531,-7.833814,-4.220497
-7.7880707,-8.248809,-4.4346695
-9.197991,-9.734098,-5.179752
-7.106855,-7.5798154,-4.068484
-8.41804,-8.929149,-4.7654123
-9.954704,-10.462196,-5.594743
-9.589323,-10.093382,-5.3970075
-6.5739565,-7.028197,-3.7810662
-5.4689145,-5.925435,-3.1890674
-3.8056345,-4.2131834,-2.3057547
-6.6377993,-7.113274,-3.817038
-12.563095,-13.104607,-6.9823565
-5.079482,-5.499177,-2.9914522
-7.956172,-8.454514,-4.5220838
-9.470311,-9.946289,-5.3356175
-13.839204,-14.402621,-7.6658006
-8.926073,-9.448244,-5.0359406
-8.936322,-9.458975,-5.042196
-7.3153234,-7.8145456,-4.173448
-7.1211247,-7.5959864,-4.07805
-5.4298334,-5.883635,-3.167086
-3.9819224,-4.3850336,-2.407846
-7.190816,-7.6612043,-4.1130724
-8.410922,-8.917954,-4.76338
-13.7731085,-14.360646,-7.630604
-5.0276365,-5.427862,-2.9732585
-17.091053,-17.68358,-9.4012785
-6.191336,-6.624584,-3.5856836
-4.918457,-5.318543,-2.9198527
-9.317921,-9.782333,-5.252886
-9.653559,-10.196484,-5.4246187
-11.330726,-11.82081,-6.327375
-9.279041,-9.795187,-5.2255297
-7.649615,-8.145012,-4.355238
-10.178358,-10.726332,-5.705559
-3.5532293,-3.950178,-2.1727502
-5.8328404,-6.26377,-3.389468
-7.680423,-8.175119,-4.3729563
-8.169473,-8.6878805,-4.6294103
-7.011608,-7.4906254,-4.016253
-6.307324,-6.7621994,-3.6507947
-4.9442444,-5.3674283,-2.9245958
-8.226898,-8.738321,-4.6640706
-7.243333,-7.7184873,-4.141148
-8.156612,-8.6465025,-4.6312904
-6.0420957,-6.480299,-3.5047963
-6.628466,-7.055175,-3.8171737
-8.795578,-9.262224,-4.971382
-5.8579507,-6.326108,-3.39611
-11.335231,-11.849889,-6.331776
-8.0075865,-8.510524,-4.549186
-7.9426937,-8.3938265,-4.5212717
-3.5028636,-3.8969152,-2.150785
-8.48244,-8.997973,-4.7991223
-7.655316,-8.116442,-4.3674874
-9.116938,-9.627504,-5.1430073
-5.6006,-6.0515256,-3.2763784
-7.5764956,-8.064989,-4.31752
-3.1143253,-3.4802244,-1.9466853
-8.342241,-8.806679,-4.735883
-7.3727384,-7.839644,-4.210423
-13.763523,-14.357527,-7.6209717
-4.140734,-4.5615463,-2.4822462
-4.401186,-4.803267,-2.6269968
-26.731138,-27.566788,-14.548012
-10.040444,-10.531665,-5.6365037
-7.0197496,-7.4792943,-4.0223355
